"aircraft","picture","source","author_name","author_profile","license"
"02a1af","aircraft_pictures/02a1af.jpg","https://www.flickr.com/photos/130961247@N06/16270427727/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1b0","aircraft_pictures/02a1b0.jpg","https://www.flickr.com/photos/130961247@N06/28355352102/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1b2","aircraft_pictures/02a1b2.jpg","https://www.flickr.com/photos/130961247@N06/15833816644/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1ca","aircraft_pictures/02a1ca.jpg","https://www.flickr.com/photos/dylan33/30627000397/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
"02a1cc","aircraft_pictures/02a1cc.jpg","https://www.flickr.com/photos/130961247@N06/49587478418/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1d1","aircraft_pictures/02a1d1.jpg","https://www.flickr.com/photos/130961247@N06/43438553250/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a240","aircraft_pictures/02a240.jpg","https://www.flickr.com/photos/130961247@N06/32244037203/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"040046","aircraft_pictures/040046.jpg","https://www.flickr.com/photos/tagsplanepics-lhr/9152046568/","John Taggart","https://www.flickr.com/photos/tagsplanepics-lhr/","CC-BY-SA-2.0"
"040048","aircraft_pictures/040048.jpg","https://www.flickr.com/photos/130961247@N06/28356987032/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"040066","aircraft_pictures/040066.jpg","https://www.flickr.com/photos/130961247@N06/49565081036/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"040078","aircraft_pictures/040078.jpg","https://www.flickr.com/photos/130961247@N06/40106529732/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
